SECCODE,TIME,OPEN,CLOSE,LOW,HIGH,VOLUME,CHANGE
SBERP,100450,54.11,54.11,54.11,54.11,300,0
SBERP,100458,54.05,54.05,54.05,54.05,400,0
SBERP,100459,54.11,54.11,54.11,54.11,100,0
SBERP,100500,54.05,54.05,54.05,54.05,1200,0
SBERP,100501,54.02,54.02,54.02,54.02,300,0
SBERP,100502,54.02,54.02,54.02,54.02,400,0
SBERP,100504,54.08,54.14,54.08,54.14,5700,0.111
SBERP,100505,54.11,54.11,54.11,54.11,500,0
SBERP,100516,54.14,54.14,54.14,54.14,100,0
SBERP,100517,54.14,54.14,54.14,54.14,400,0
SBERP,100518,54.11,54.11,54.11,54.11,1200,0
SBERP,100519,54.09,54.09,54.09,54.09,1200,0
SBERP,100528,54.1,54.06,54.06,54.1,1600,-0.074
SBERP,100608,54.12,54.12,54.12,54.12,400,0
SBERP,100609,54.12,54.12,54.12,54.12,6100,0
SBERP,100614,54.12,54.12,54.12,54.12,100,0
SBERP,100637,54.08,54.08,54.08,54.08,400,0
SBERP,100638,54.12,54.12,54.12,54.12,100,0
SBERP,100641,54.08,54.08,54.08,54.08,100,0
SBERP,100643,54.06,54.04,54.04,54.06,1800,-0.037
SBERP,100646,54.09,54.09,54.09,54.09,100,0
SBERP,100647,54.05,54.05,54.05,54.05,500,0
SBERP,100652,54.07,54.07,54.07,54.07,4500,0
SBERP,100657,54.07,54.07,54.07,54.07,4200,0
SBERP,100700,54.07,54.07,54.07,54.07,3400,0
SBERP,100701,54.07,54.07,54.07,54.07,200,0
SBERP,100702,54.08,54.07,54.07,54.08,1400,-0.018
SBERP,100703,54.07,54.07,54.07,54.07,100,0
SBERP,100705,54.07,54.07,54.07,54.07,200,0
SBERP,100724,54.07,54.07,54.07,54.07,300,0
SBERP,100728,54.07,54.09,54.06,54.1,5100,0.037
SBERP,100734,54.11,54.11,54.11,54.11,500,0
SBERP,100747,54.08,54.08,54.08,54.08,800,0
SBERP,100749,54.08,54.08,54.08,54.08,200,0
SBERP,100751,54.09,54.09,54.09,54.09,500,0
SBERP,100752,54.1,54.1,54.1,54.1,100,0
SBERP,100756,54.1,54.1,54.1,54.1,3000,0
SBERP,100758,54.1,54.1,54.1,54.1,100,0
SBERP,100808,54.1,54.1,54.1,54.1,500,0
SBERP,100812,54.1,54.1,54.1,54.1,300,0
SBERP,100815,54.1,54.11,54.1,54.11,200,0.018
SBERP,100819,54.11,54.12,54.11,54.12,21200,0.018
SBERP,100824,54.12,54.12,54.12,54.12,200,0
SBERP,100827,54.12,54.12,54.12,54.12,4200,0
SBERP,100829,54.1,54.1,54.1,54.1,1400,0
SBERP,100857,54.1,54.1,54.1,54.1,400,0
SBERP,100906,54.12,54.12,54.12,54.12,1100,0
SBERP,100913,54.12,54.12,54.12,54.12,7000,0
SBERP,100922,54.1,54.1,54.1,54.1,500,0
SBERP,100926,54.1,54.1,54.1,54.1,300,0
SBERP,100944,54.1,54.1,54.1,54.1,200,0
SBERP,100951,54.1,54.08,54.08,54.1,5000,-0.037
SBERP,101002,54.09,54.09,54.08,54.09,4000,0
SBERP,101019,54.1,54.12,54.1,54.12,3000,0.037
SBERP,101025,54.11,54.11,54.11,54.11,1000,0
SBERP,101038,54.1,54.1,54.1,54.1,1000,0
SBERP,101040,54.1,54.1,54.1,54.1,2000,0
SBERP,101043,54.08,54.08,54.08,54.08,23300,0
SBERP,101047,54.03,54.03,54.03,54.03,100,0
SBERP,101050,54.04,54.04,54.04,54.04,500,0
SBERP,101055,54.08,54.11,54.08,54.11,13000,0.055
SBERP,101119,54.1,54.1,54.1,54.1,600,0
SBERP,101123,54.12,54.12,54.12,54.12,100,0
SBERP,101125,54.1,54.1,54.1,54.1,1000,0
SBERP,101134,54.12,54.13,54.12,54.13,5000,0.018
SBERP,101137,54.11,54.11,54.11,54.11,2000,0
SBERP,101144,54.13,54.14,54.13,54.14,6300,0.018
SBERP,101150,54.1,54.1,54.1,54.1,200,0
SBERP,101153,54.1,54.1,54.1,54.1,1000,0
SBERP,101159,54.1,54.09,54.09,54.1,2000,-0.018
SBERP,101200,54.1,54.13,54.1,54.13,2500,0.055
SBERP,101210,54.11,54.11,54.11,54.11,200,0
SBERP,101222,54.11,54.11,54.11,54.11,200,0
SBERP,101223,54.13,54.14,54.13,54.14,5000,0.018
SBERP,101227,54.14,54.14,54.14,54.14,7700,0
SBERP,101228,54.15,54.15,54.15,54.15,3100,0
SBERP,101241,54.15,54.15,54.15,54.15,200,0
SBERP,101243,54.12,54.12,54.12,54.12,7000,0
SBERP,101253,54.12,54.12,54.12,54.12,200,0
SBERP,101305,54.15,54.15,54.15,54.15,500,0
SBERP,101317,54.15,54.17,54.15,54.17,16000,0.037
SBERP,101318,54.19,54.19,54.19,54.19,100,0
SBERP,101323,54.15,54.15,54.15,54.15,100,0
SBERP,101325,54.15,54.15,54.15,54.15,200,0
SBERP,101330,54.19,54.2,54.19,54.2,1700,0.018
SBERP,101331,54.2,54.2,54.2,54.2,2200,0
SBERP,101332,54.21,54.21,54.21,54.21,2100,0
SBERP,101337,54.21,54.22,54.21,54.22,400,0.018
SBERP,101340,54.21,54.21,54.21,54.21,200,0
SBERP,101356,54.2,54.19,54.19,54.2,300,-0.018
SBERP,101359,54.22,54.22,54.22,54.22,100,0
SBERP,101401,54.2,54.2,54.2,54.2,500,0
SBERP,101403,54.21,54.21,54.21,54.21,400,0
SBERP,101422,54.21,54.21,54.21,54.21,200,0
SBERP,101426,54.2,54.2,54.2,54.2,1000,0
SBERP,101428,54.19,54.19,54.19,54.19,200,0
SBERP,101431,54.21,54.23,54.21,54.23,3000,0.037
SBERP,101435,54.23,54.23,54.23,54.23,200,0
SBERP,101436,54.21,54.18,54.18,54.21,1700,-0.055
SBERP,101437,54.19,54.19,54.19,54.19,200,0
SBERP,101450,54.21,54.23,54.21,54.23,2000,0.037
SBERP,101452,54.23,54.24,54.23,54.24,5000,0.018
SBERP,101459,54.24,54.24,54.24,54.24,200,0
SBERP,101501,54.24,54.24,54.24,54.24,5600,0
SBERP,101509,54.21,54.21,54.21,54.21,200,0
SBERP,101515,54.21,54.23,54.2,54.23,6500,0.037
SBERP,101524,54.23,54.23,54.23,54.23,200,0
SBERP,101530,54.23,54.23,54.23,54.23,400,0
SBERP,101532,54.23,54.23,54.23,54.23,1400,0
SBERP,101536,54.2,54.2,54.2,54.2,100,0
SBERP,101538,54.24,54.24,54.24,54.24,500,0
SBERP,101539,54.24,54.24,54.24,54.24,800,0
SBERP,101542,54.24,54.25,54.24,54.25,7000,0.018
SBERP,101557,54.22,54.24,54.22,54.24,1600,0.037
SBERP,101615,54.24,54.24,54.24,54.24,100,0
SBERP,101618,54.2,54.2,54.2,54.2,100,0
SBERP,101622,54.24,54.24,54.24,54.24,500,0
SBERP,101637,54.2,54.2,54.2,54.2,700,0
SBERP,101639,54.18,54.16,54.16,54.18,4200,-0.037
SBERP,101641,54.16,54.16,54.16,54.16,1000,0
SBERP,101704,54.19,54.19,54.19,54.19,100,0
SBERP,101713,54.16,54.12,54.12,54.16,23200,-0.074
SBERP,101714,54.13,54.13,54.13,54.13,1500,0
SBERP,101718,54.13,54.11,54.11,54.13,9200,-0.037
SBERP,101719,54.1,54.1,54.1,54.12,20700,0
SBERP,101726,54.06,54.06,54.06,54.07,1800,0
SBERP,101727,54.06,54.06,54.06,54.06,2100,0
SBERP,101748,54.07,54.07,54.07,54.07,300,0
SBERP,101757,54.08,54.08,54.08,54.08,1000,0
SBERP,101759,54.09,54.09,54.09,54.09,600,0
SBERP,101800,54.07,54.07,54.07,54.07,100,0
SBERP,101814,54.07,54.09,54.06,54.09,3600,0.037
SBERP,101823,54.06,54.06,54.06,54.06,600,0
SBERP,101828,54.06,54.06,54.06,54.06,6500,0
SBERP,101834,54.06,54.06,54.06,54.06,800,0
SBERP,101839,54.03,54.03,54.03,54.03,300,0
SBERP,101840,54.03,54.03,54.03,54.03,800,0
SBERP,101841,54.03,54.03,54.03,54.03,400,0
SBERP,101850,54.03,54.03,54.03,54.03,700,0
SBERP,101853,54.02,54.02,54.02,54.02,200,0
SBERP,101857,54.02,54.01,54.01,54.02,12000,-0.019
SBERP,101910,54.08,54.08,54.08,54.08,1000,0
SBERP,101919,54.03,54.03,54.03,54.03,2300,0
SBERP,101923,54.05,54.01,54.01,54.05,15100,-0.074
SBERP,101933,54.06,54.06,54.06,54.06,2000,0
SBERP,101938,54.03,54.06,54,54.06,53500,0.056
SBERP,101940,54,54,54,54,100,0
SBERP,101941,54.02,54.02,54.02,54.02,100,0
SBERP,101942,54.06,54.08,54.06,54.08,4000,0.037
SBERP,101943,54.08,54.09,54.08,54.09,2400,0.018
SBERP,101947,54.09,54.1,54.07,54.11,2300,0.018
SBERP,101949,54.06,54.06,54.06,54.06,600,0
SBERP,101952,54.07,54.07,54.07,54.07,600,0
SBERP,102003,54.03,54.03,54.03,54.03,2900,0
SBERP,102019,54.02,54.02,54.02,54.02,100,0
SBERP,102029,54.05,54.05,54.05,54.05,400,0
SBERP,102047,54.03,54.03,54.03,54.03,300,0
SBERP,102053,54.05,54.05,54.05,54.05,100,0
SBERP,102114,54.02,54.02,54.02,54.02,100,0
SBERP,102123,54.02,54.02,54.02,54.02,200,0
SBERP,102125,54.02,54.02,54.02,54.02,100,0
SBERP,102141,54.02,54.02,54.02,54.02,5000,0
SBERP,102142,54,54,54,54,1100,0
SBERP,102143,54,54,54,54,2500,0
SBERP,102145,54,54,54,54,5000,0
SBERP,102149,54,54,54,54,2000,0
SBERP,102200,54,54,54,54,2500,0
SBERP,102211,54.01,54.01,54.01,54.01,1000,0
SBERP,102215,54.02,54.05,54.02,54.05,800,0.056
SBERP,102217,54.05,54.05,54.05,54.05,100,0
SBERP,102231,54.03,54.03,54.03,54.03,100,0
SBERP,102309,54.05,54.05,54.05,54.05,2000,0
SBERP,102319,54.09,54.09,54.09,54.09,200,0
SBERP,102344,54.09,54.09,54.09,54.09,300,0
SBERP,102408,54.09,54.09,54.09,54.09,400,0
SBERP,102428,54.05,54.03,54.03,54.05,2400,-0.037
SBERP,102429,54.03,54.03,54.03,54.03,500,0
SBERP,102430,54.03,54.03,54.03,54.03,500,0
SBERP,102435,54.04,54.04,54.04,54.04,1000,0
SBERP,102447,54.02,54.02,54.02,54.02,1900,0
SBERP,102451,54.04,54.06,54.04,54.06,4000,0.037
SBERP,102502,54.03,54.03,54.03,54.03,600,0
SBERP,102519,54.02,54.01,54.01,54.02,2900,-0.019
SBERP,102550,54.05,54.05,54.05,54.05,1100,0
SBERP,102616,54.02,54.02,54.01,54.02,6000,0
SBERP,102617,54.01,54.02,54.01,54.02,2900,0.019
SBERP,102622,54.05,54.06,54.05,54.06,4000,0.019
SBERP,102628,54.06,54.07,54.06,54.07,5000,0.018
SBERP,102631,54.02,54.01,54.01,54.02,8100,-0.019
SBERP,102632,54.01,54.01,54.01,54.01,1000,0
SBERP,102634,54.01,54.01,54.01,54.01,600,0
SBERP,102648,54.02,54.05,54.02,54.05,1000,0.056
SBERP,102650,54.06,54.06,54.06,54.06,500,0
SBERP,102653,54.06,54.06,54.06,54.06,2000,0
SBERP,102658,54.05,54.05,54.05,54.05,300,0
SBERP,102704,54.02,54.02,54.02,54.02,200,0
SBERP,102705,54.02,54.01,54.01,54.02,3600,-0.019
SBERP,102711,54.01,54.01,54.01,54.01,200,0
SBERP,102712,54.01,54.01,54.01,54.01,200,0
SBERP,102713,54.01,54.01,54.01,54.01,800,0
SBERP,102714,54.01,54.01,54.01,54.01,400,0
SBERP,102715,54.01,54.01,54.01,54.01,600,0
SBERP,102716,54.01,54.01,54.01,54.01,200,0
SBERP,102719,54.01,54.01,54.01,54.01,100,0
SBERP,102730,54,54,54,54,23300,0
SBERP,102732,54,54,54,54,14500,0
SBERP,102736,54,54,54,54,1200,0
SBERP,102737,54,54,54,54,1000,0
SBERP,102806,54,54,54,54,200,0
SBERP,102813,54,54,54,54,200,0
SBERP,102814,54,54,54,54,3400,0
SBERP,102823,54,54,54,54,100,0
SBERP,102842,54,54,54,54,200,0
SBERP,102852,54,53.95,53.91,54,68400,-0.093
SBERP,102853,53.94,53.95,53.93,53.95,6000,0.019
SBERP,102854,53.96,53.95,53.95,53.96,800,-0.019
SBERP,102855,53.96,53.96,53.96,53.96,100,0
SBERP,102903,53.96,53.95,53.94,53.96,6600,-0.019
SBERP,102907,53.92,53.91,53.91,53.92,3500,-0.019
SBERP,102908,53.92,53.96,53.92,53.96,2000,0.074
SBERP,102917,53.96,53.96,53.96,53.96,100,0
SBERP,102927,53.93,53.91,53.91,53.93,11300,-0.037
SBERP,102932,53.92,53.92,53.92,53.92,900,0
SBERP,102937,53.91,53.94,53.91,53.94,5100,0.056
SBERP,102938,53.91,53.91,53.91,53.91,1000,0
SBERP,102941,53.92,53.92,53.92,53.92,800,0
SBERP,102944,53.92,53.91,53.91,53.92,1300,-0.019
SBERP,102945,53.91,53.91,53.91,53.91,1000,0
SBERP,102946,53.92,53.91,53.91,53.92,1800,-0.019
SBERP,102948,53.91,53.91,53.91,53.91,1000,0
SBERP,102952,53.9,53.9,53.9,53.9,2300,0
SBERP,102953,53.9,53.9,53.9,53.9,1500,0
SBERP,103001,53.89,53.89,53.89,53.89,800,0
SBERP,103003,53.91,53.91,53.91,53.91,100,0
SBERP,103015,53.91,53.91,53.91,53.91,1400,0
SBERP,103016,53.91,53.91,53.91,53.91,300,0
SBERP,103017,53.91,53.91,53.91,53.91,1000,0
SBERP,103020,53.92,53.92,53.92,53.92,200,0
SBERP,103026,53.92,53.92,53.92,53.92,200,0
SBERP,103035,53.91,53.91,53.91,53.91,900,0
SBERP,103036,53.92,53.92,53.92,53.92,100,0
SBERP,103039,53.92,53.94,53.92,53.94,1100,0.037
SBERP,103046,53.92,53.92,53.92,53.92,100,0
SBERP,103050,53.89,53.89,53.89,53.89,100,0
SBERP,103054,53.9,53.9,53.9,53.9,6500,0
SBERP,103113,53.92,53.92,53.92,53.92,200,0
SBERP,103115,53.92,53.92,53.92,53.92,3100,0
SBERP,103116,53.92,53.92,53.92,53.92,3100,0
SBERP,103117,53.92,53.92,53.92,53.92,100,0
SBERP,103122,53.92,53.92,53.92,53.92,600,0
SBERP,103131,53.89,53.89,53.89,53.89,300,0
SBERP,103136,53.88,53.88,53.88,53.88,500,0
SBERP,103138,53.87,53.87,53.87,53.87,400,0
SBERP,103142,53.89,53.89,53.89,53.89,200,0
SBERP,103143,53.89,53.91,53.89,53.91,6300,0.037
SBERP,103159,53.92,53.92,53.92,53.92,600,0
SBERP,103202,53.92,53.94,53.92,53.94,3900,0.037
SBERP,103213,53.92,53.92,53.92,53.92,300,0
SBERP,103214,53.91,53.94,53.91,53.94,1800,0.056
SBERP,103231,53.97,53.97,53.97,53.97,5000,0
SBERP,103247,53.97,53.97,53.97,53.97,400,0
SBERP,103249,53.93,53.93,53.93,53.93,100,0
SBERP,103310,53.93,53.93,53.93,53.93,8400,0
SBERP,103353,53.93,53.93,53.93,53.93,3900,0
SBERP,103406,53.92,53.91,53.91,53.92,9800,-0.019
SBERP,103418,53.92,53.92,53.92,53.92,100,0
SBERP,103421,53.92,53.92,53.92,53.92,1100,0
SBERP,103423,53.92,53.92,53.92,53.92,300,0
SBERP,103435,53.95,53.97,53.95,53.97,5000,0.037
